dataset,drop_rate,num_dropped,marginal_tv_avg,active_parties
adult,0.0,0,0.48661666666666664,10
adult,0.1,1,0.501877380952381,9
adult,0.2,2,0.5065726190476191,8
adult,0.3,3,0.494202380952381,7
bank,0.0,0,0.16848333333333335,10
bank,0.1,1,0.16135222222222226,9
bank,0.2,2,0.17194555555555555,8
bank,0.3,3,0.1707177777777778,7
acs_pums,0.0,0,0.17624222222222222,10
acs_pums,0.1,1,0.17622333333333332,9
acs_pums,0.2,2,0.17528666666666667,8
acs_pums,0.3,3,0.17233555555555555,7
credit,0.0,0,0.17780227272727273,10
credit,0.1,1,0.17047045454545454,9
credit,0.2,2,0.1745818181818182,8
credit,0.3,3,0.1791784090909091,7
mushroom,0.0,0,0.3992973588471534,10
mushroom,0.1,1,0.4008175194897237,9
mushroom,0.2,2,0.3979168627450981,8
mushroom,0.3,3,0.3952083849121978,7
shopping,0.0,0,0.9257037037037037,10
shopping,0.1,1,0.9274444444444443,9
shopping,0.2,2,0.9280000000000002,8
shopping,0.3,3,0.925074074074074,7
diabetes,0.0,0,0.17537395833333333,10
diabetes,0.1,1,0.1706697916666667,9
diabetes,0.2,2,0.16884687499999998,8
diabetes,0.3,3,0.16234583333333333,7
covertype,0.0,0,0.17474375,10
covertype,0.1,1,0.16510416666666666,9
covertype,0.2,2,0.16994374999999998,8
covertype,0.3,3,0.17271458333333334,7
